Epoch,Train_Loss,Train_Accuracy,Test_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,2.6138023138046265,36.87065988779068,1.630344797372818,68.50925922393799,6.911576509475708,6.911576509475708
2,0.7178305853158236,89.73524309694767,0.3545086580514908,93.625,6.301661968231201,13.21323847770691
3,0.18346884241327643,99.21875,0.1850678839534521,96.625,6.278436183929443,19.491674661636353
4,0.08648498205002397,99.21875,0.13104121189564466,97.0,6.3224287033081055,25.814103364944458
5,0.04697119351476431,100.0,0.10473619306460023,98.375,6.411755084991455,32.22585844993591
6,0.04542509885504842,99.8046875,0.08717380449175835,98.5,6.391425371170044,38.61728382110596
7,0.035084682662272826,99.8046875,0.1038618561020121,98.25,6.456546068191528,45.073829889297485
8,0.026238203834509477,99.8046875,0.0906547896983102,98.625,6.449050188064575,51.52288007736206
9,0.018569254607427865,100.0,0.09016833235509694,97.875,6.484594821929932,58.00747489929199
10,0.011634677852271125,100.0,0.09373353375121951,98.25,6.456933259963989,64.46440815925598
11,0.02808099843969103,99.8046875,0.08591767598874867,97.75,6.441839933395386,70.90624809265137
12,0.024502448766725138,99.8046875,0.07197149462997914,98.25,6.466955661773682,77.37320375442505
13,0.015972410197719,100.0,0.08171702330000699,98.625,6.5068254470825195,83.88002920150757
14,0.015008018293883651,99.8046875,0.07587093299720436,98.75,6.5238683223724365,90.40389752388
15,0.01997635817679111,100.0,0.08053422867786139,98.5,6.493968725204468,96.89786624908447
16,0.00891841902921442,100.0,0.08219164700713008,98.75,6.496966600418091,103.39483284950256
17,0.009631026805436704,100.0,0.0972859774157405,98.125,6.489432334899902,109.88426518440247
18,0.008596005391154904,100.0,0.08270451380638405,98.25,6.480715036392212,116.36498022079468
19,0.015193872211966664,99.8046875,0.08495435715653002,98.375,6.5297253131866455,122.89470553398132
20,0.006593521244212752,100.0,0.08226511000772006,98.625,6.519628286361694,129.41433382034302
21,0.011234647885430604,100.0,0.08010248622857034,98.5,6.521056890487671,135.9353907108307
22,0.005789609984276467,100.0,0.07348902030847966,98.875,6.5292582511901855,142.46464896202087
23,0.00586223748177872,100.0,0.07115970263374038,98.75,6.531755208969116,148.99640417099
24,0.012083924408216262,99.8046875,0.07556375761167146,98.75,6.533003807067871,155.52940797805786
25,0.00682643252730486,100.0,0.07309452533023432,98.625,6.5159690380096436,162.0453770160675
26,0.013364478345465614,99.8046875,0.08547467749915086,98.375,6.544468641281128,168.58984565734863
27,0.009752296904480318,99.8046875,0.09022735562524759,98.25,6.533176898956299,175.12302255630493
28,0.010008883666159818,100.0,0.08046694623946678,98.625,6.505342483520508,181.62836503982544
29,0.010432477783069771,100.0,0.06793118464527652,98.875,6.52346134185791,188.15182638168335
30,0.008243248557846528,99.8046875,0.06263796719780658,98.875,6.512731313705444,194.6645576953888
31,0.007692500868870411,100.0,0.0699636114295572,98.875,6.536565542221069,201.20112323760986
32,0.006434429920773255,100.0,0.06986421524023172,98.875,6.563920021057129,207.765043258667
33,0.00611985680370708,100.0,0.06947109046683181,98.875,6.547956466674805,214.3129997253418
34,0.0037618683818436693,100.0,0.07138133530505002,98.875,6.546617746353149,220.85961747169495
35,0.0029352887977438513,100.0,0.07219823993451428,98.875,6.5627760887146,227.42239356040955
36,0.004410326313518453,100.0,0.0699832952406723,98.875,6.515443325042725,233.93783688545227
37,0.007115496486221673,100.0,0.07159505209419877,98.875,6.586961269378662,240.52479815483093
38,0.0017023337368300417,100.0,0.07374080703186336,98.875,6.600034952163696,247.12483310699463
39,0.004491499923460651,100.0,0.07407152682775632,98.875,6.57294487953186,253.6977779865265
40,0.0027746482028305763,100.0,0.07420386074343696,98.875,6.53459620475769,260.2323741912842
41,0.004128889237108524,100.0,0.07388389521336648,98.875,6.523810148239136,266.7561843395233
42,0.0055215184456756106,100.0,0.07374352144892328,98.875,6.539868116378784,273.2960524559021
43,0.0037820607522007776,100.0,0.07354914313473274,98.875,6.572318077087402,279.8683705329895
44,0.008942264905272168,99.8046875,0.07385301730886568,98.875,6.571932554244995,286.4403030872345
45,0.012675434136326658,99.8046875,0.07391349606506992,98.875,6.540836334228516,292.981139421463
46,0.00786608023554436,100.0,0.07407512249425054,98.875,6.530279159545898,299.5114185810089
47,0.0028445795251172967,100.0,0.07401639371935743,98.875,6.5137999057769775,306.0252184867859
48,0.0035695170281542232,100.0,0.0739949039259227,98.875,6.522965908050537,312.5481843948364
49,0.0021052213669463526,100.0,0.07398571608355269,98.875,6.566218852996826,319.11440324783325
50,0.008554580239433562,99.8046875,0.0739759319461882,98.875,6.565633773803711,325.68003702163696
