Epoch,Train_Loss,Train_Accuracy,SSC_Loss,Test_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,1.4453790520181817,63.44803370786517,0.03474284489272853,1.7554297709465028,57.879629611968994,72.15812921524048,72.15812921524048
2,0.5478564196925485,84.86657303370787,0.02105829650483858,1.5179883074760436,59.416666746139526,68.10626673698425,140.26439595222473
3,0.3599016140895278,90.94101123595506,0.012364735795457042,1.7342506682872771,53.879629611968994,68.65339803695679,208.91779398918152
4,0.253246208339579,92.59129213483146,0.009784710447675433,1.604987280368805,57.53703701496124,68.86653995513916,277.7843339443207
5,0.194168972830207,94.31179775280899,0.008031789407008485,1.7845250809192656,56.03703701496124,69.141184091568,346.9255180358887
6,0.13264939953390578,96.59410112359551,0.007260039763321074,1.9325215482711793,49.78703701496124,69.19934320449829,416.12486124038696
7,0.12665332528354412,96.48876404494382,0.0076377709982184214,1.8051025724411012,50.935185194015496,69.37201476097107,485.49687600135803
8,0.14542636801122447,96.06741573033707,0.01100575781539815,2.0272266340255736,45.61574077606201,69.24238324165344,554.7392592430115
9,0.1530537727798873,95.18960674157303,0.00913840318961969,1.9002818661928176,51.175925970077515,69.16225123405457,623.901510477066
10,0.13288312019476814,96.6994382022472,0.011793192070542594,1.9500779008865357,51.01388889551163,69.11783647537231,693.0193469524384
11,0.12227832046080314,96.34831460674157,0.012597539171764857,1.8671332216262817,47.3101851940155,69.06386947631836,762.0832164287567
12,0.08882392948268379,97.75280898876404,0.0066754826373326475,1.884220952987671,47.83333337306976,69.03670310974121,831.1199195384979
13,0.12647619103133845,96.52387640449437,0.005966757116786969,1.8762459063529968,49.6851851940155,69.06857705116272,900.1884965896606
14,0.14195975973898692,95.99719101123596,0.008998342090563619,2.3792595887184143,36.4351851940155,69.14555788040161,969.3340544700623
15,0.36648750794904955,90.48455056179775,0.01653419880541774,2.290964756011963,40.4351851940155,69.1575653553009,1038.4916198253632
16,0.1879271838730306,94.87359550561798,0.009168630579664383,2.228701939582825,41.4351851940155,69.2185571193695,1107.7101769447327
17,0.09503483418060941,97.15589887640449,0.007045165132705039,2.0594217944145203,45.879629611968994,69.12302017211914,1176.8331971168518
18,0.08259300362800112,97.71769662921348,0.005798396337228001,2.164254376888275,47.3101851940155,69.11621475219727,1245.949411869049
19,0.05379338325472193,98.8061797752809,0.006303781065357368,2.278143677711487,44.38888889551163,69.04470038414001,1314.994112253189
20,0.05628464633358245,98.5252808988764,0.004307224106545863,2.220175371170044,45.694444447755814,69.09247589111328,1384.0865881443024
21,0.02699999197247553,99.19241573033707,0.004030119148318478,2.0705210959911344,44.49074077606201,69.15602827072144,1453.2426164150238
22,0.022739764285351353,99.50842696629213,0.0031856091250273074,1.996381905078888,48.1851851940155,69.08049583435059,1522.3231122493744
23,0.011749552964563795,99.8244382022472,0.0027747937966023017,2.179252116680145,46.76388889551163,69.04867696762085,1591.3717892169952
24,0.006811931705225321,99.89466292134831,0.0022904907194295837,2.120588722229004,45.86574077606201,69.07931303977966,1660.451102256775
25,0.0067220420588465675,99.92977528089888,0.0029848206940687816,2.258368113040924,45.71759259700775,69.03268361091614,1729.483785867691
26,0.011310783954316965,99.85955056179775,0.002683628721978892,2.050944128036499,45.41203701496124,69.16000294685364,1798.6437888145447
27,0.007439312559669683,99.85955056179775,0.0023302648697516703,2.125357666015625,42.36574077606201,69.17408084869385,1867.8178696632385
28,0.007190755330545361,99.8244382022472,0.0023734494517269555,2.1200808572769163,44.0601851940155,69.14792251586914,1936.9657921791077
29,0.007209822067073965,99.92977528089888,0.002768286316475067,2.1356623435020445,43.5601851940155,69.19573402404785,2006.1615262031555
30,0.006574086469255092,99.85955056179775,0.0020153489865734125,2.1813769936561584,44.01388889551163,69.12323331832886,2075.2847595214844
31,0.0059364503834872726,99.89466292134831,0.0020123014401178807,2.073847873210907,46.4351851940155,69.22988963127136,2144.5146491527557
32,0.0036684882591977042,99.96488764044943,0.001827430607897512,2.0634718799591063,46.9351851940155,69.0826108455658,2213.5972599983215
33,0.003056964904255969,99.96488764044943,0.0030650561930496622,2.128628373146057,44.1851851940155,69.09301996231079,2282.6902799606323
34,0.0029187664058552623,99.96488764044943,0.0014864037557651571,2.092197163105011,45.1851851940155,69.0749044418335,2351.765184402466
35,0.0040083510139895095,99.89466292134831,0.002313866877465331,2.1025428938865662,43.4351851940155,69.09896802902222,2420.864152431488
36,0.006025019914907236,99.92977528089888,0.0014974719526251422,2.1157176065444947,44.78703701496124,69.06875586509705,2489.932908296585
37,0.004880022635221353,99.89466292134831,0.0018213448802066779,2.0747150421142577,44.0601851940155,69.16938304901123,2559.1022913455963
38,0.003322193977326381,100.0,0.0017656426728975153,2.0700828528404234,44.5601851940155,69.28855085372925,2628.3908421993256
39,0.0032777675362480334,100.0,0.002175245366027851,2.0535722517967225,45.0601851940155,69.03052115440369,2697.4213633537292
40,0.003700369586672576,99.92977528089888,0.002234463318345252,2.073832414150238,45.3101851940155,69.18436002731323,2766.6057233810425
41,0.00507695069122389,99.85955056179775,0.002018776919766005,2.065304863452911,45.1851851940155,71.71170926094055,2838.317432641983
42,0.004254250254377715,99.92977528089888,0.0015589404570624191,2.0706483483314515,45.6851851940155,74.89619016647339,2913.2136228084564
43,0.0031464029112993138,99.89466292134831,0.0017104243272339946,2.063161697387695,45.5601851940155,71.80964159965515,2985.0232644081116
44,0.005545392706735992,99.92977528089888,0.0036752951590428022,2.063090109825134,46.3101851940155,72.04791331291199,3057.0711777210236
