Epoch,Train_Loss,Train_Accuracy,Test_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,2.268132565021515,49.55555558204651,0.6900751553475857,94.61805559694767,7.273154973983765,7.273154973983765
2,0.3794954785704613,95.32870364189148,0.13191242376342416,97.8515625,7.080638647079468,14.353793621063232
3,0.10591043591499329,99.0,0.06240570094087161,99.21875,7.084528923034668,21.4383225440979
4,0.04862454105168581,100.0,0.034687086488702334,99.4140625,7.083221197128296,28.521543741226196
5,0.03868949092924595,100.0,0.02457930341552128,99.4140625,7.123508453369141,35.64505219459534
6,0.025170874819159507,99.875,0.018944723291497212,99.609375,7.154704570770264,42.7997567653656
7,0.021893966756761075,100.0,0.013191329464461887,99.8046875,7.161576986312866,49.96133375167847
8,0.023076493544504046,99.75,0.011805644677224336,99.8046875,7.188742399215698,57.150076150894165
9,0.020498373676091433,99.875,0.013923453056122526,99.609375,7.182982921600342,64.3330590724945
10,0.024253079639747738,100.0,0.02755461738888698,99.4140625,7.175103664398193,71.5081627368927
11,0.018222566125914455,100.0,0.02074404755694559,99.4140625,7.189354658126831,78.69751739501953
12,0.013732150769792497,100.0,0.025075986170122633,99.21875,7.165504217147827,85.86302161216736
13,0.009190805926918984,100.0,0.009804095188883366,99.8046875,7.1803765296936035,93.04339814186096
14,0.01293105721473694,99.875,0.012901176026389294,99.8046875,7.1836113929748535,100.22700953483582
15,0.008021751809865236,100.0,0.010301504058588762,99.8046875,7.210033893585205,107.43704342842102
16,0.010770196455996483,100.0,0.01072732844568236,99.8046875,7.2273948192596436,114.66443824768066
17,0.012893323162570596,99.75,0.00873944032127838,99.8046875,7.221904516220093,121.88634276390076
18,0.007285428827162832,100.0,0.006000722426961147,99.8046875,7.222034692764282,129.10837745666504
19,0.01274597917450592,100.0,0.006408954591734073,99.8046875,7.245397329330444,136.35377478599548
20,0.011908294035820291,99.75,0.011659253503694345,99.8046875,7.249531269073486,143.60330605506897
21,0.0061980238871183245,100.0,0.011701078342412075,99.8046875,7.256090402603149,150.85939645767212
22,0.007481957816053182,99.875,0.01658078169066357,99.609375,7.243903160095215,158.10329961776733
23,0.005947239261586219,100.0,0.01589449377524943,99.609375,7.24993634223938,165.3532359600067
24,0.011386604814324528,99.60185194015503,0.008918219016322837,99.8046875,7.222581386566162,172.57581734657288
25,0.007514467707369477,100.0,0.008353938885647949,99.8046875,7.20505952835083,179.7808768749237
26,0.006155038749566302,100.0,0.015662015521229478,99.609375,7.257595062255859,187.03847193717957
27,0.006174981921212748,100.0,0.010478519872776815,99.609375,7.280925512313843,194.3193974494934
28,0.011414713101694361,99.75,0.0038658305215903965,100.0,7.25501012802124,201.57440757751465
29,0.020638183676055633,99.75,0.013026721642290795,99.8046875,7.2611753940582275,208.83558297157288
30,0.00562420075526461,100.0,0.014939507359031268,99.8046875,7.2644829750061035,216.10006594657898
31,0.0020305091387126596,100.0,0.01123168163758237,99.8046875,7.2567222118377686,223.35678815841675
32,0.006576406265376136,100.0,0.009402111168128613,99.8046875,7.2528395652771,230.60962772369385
33,0.0024699003802379593,100.0,0.009412031730107628,99.8046875,7.256603240966797,237.86623096466064
34,0.00257936357986182,100.0,0.008990301762878516,99.8046875,7.2227866649627686,245.0890176296234
35,0.003705249425256625,100.0,0.00884674869553237,99.8046875,7.2311859130859375,252.32020354270935
36,0.006758168648229912,99.875,0.009400575307836334,99.8046875,7.243924617767334,259.5641281604767
37,0.0012767150159925223,100.0,0.009756182432056448,99.8046875,7.26196813583374,266.8260962963104
38,0.0027071997558232395,100.0,0.009624698281868405,99.8046875,7.262898206710815,274.08899450302124
39,0.0027244046109262854,100.0,0.009253086681837885,99.8046875,7.264344692230225,281.35333919525146
40,0.0015486337622860446,100.0,0.009425356039855615,99.8046875,7.281810283660889,288.63514947891235
41,0.005697005481924862,99.875,0.010617174730214174,99.8046875,7.269679307937622,295.90482878685
42,0.004307366488501429,99.875,0.01194240214022102,99.8046875,7.2613818645477295,303.1662106513977
43,0.00247786563471891,100.0,0.012559679328887796,99.8046875,7.268410921096802,310.4346215724945
44,0.0037646982271689923,100.0,0.012257586848591018,99.8046875,7.2656943798065186,317.700315952301
45,0.0031267376488540322,100.0,0.011037772216241137,99.8046875,7.237832069396973,324.938148021698
46,0.0039650963054737075,100.0,0.010788336608811733,99.8046875,7.2591633796691895,332.1973114013672
47,0.00458653797977604,100.0,0.010673368348989243,99.8046875,7.249024868011475,339.44633626937866
48,0.0047008975461358205,100.0,0.010663544098179045,99.8046875,7.262973785400391,346.70931005477905
49,0.004943663669400848,100.0,0.010620783112699428,99.8046875,7.2537877559661865,353.96309781074524
50,0.0018888668878935277,100.0,0.010619359958582208,99.8046875,7.254968643188477,361.2180664539337
