Epoch,Train_Loss,Train_Accuracy,SSC_Loss,Test_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,1.4413167724616072,63.20224719101124,0.048943864537423915,1.4952973628044128,61.24074077606201,67.52891278266907,67.52891278266907
2,0.532749177092749,85.25280898876404,0.02842061536313359,1.5312873017787934,59.38888889551163,68.71064376831055,136.23955655097961
3,0.398776498403115,88.41292134831461,0.023954670243174506,1.802029858827591,53.01851844787598,69.66719365119934,205.90675020217896
4,0.28847351692240225,91.43258426966293,0.026777830333291983,1.7194376349449159,55.787037014961236,71.5418586730957,277.44860887527466
5,0.19621651613391897,93.96067415730337,0.01739684589863807,1.7892926299571992,56.652777791023254,69.38928031921387,346.8378891944885
6,0.15482622682472713,95.25983146067416,0.017952187810867524,1.8534857940673828,52.05092597007751,69.32382392883301,416.16171312332153
7,0.1256990930879112,96.4185393258427,0.01415600318440728,1.7262270843982697,54.4351851940155,69.28236556053162,485.44407868385315
8,0.15753763706915164,94.80337078651685,0.018856490802626764,1.973677672147751,46.61574077606201,69.27788543701172,554.7219641208649
9,0.2458030930422691,92.45084269662921,0.02496898754792853,1.9971715116500854,46.88888889551163,69.3302059173584,624.0521700382233
10,0.15317138558609433,95.78651685393258,0.021295967276385996,2.1991044092178345,43.16203701496124,69.31895232200623,693.3711223602295
11,0.13689628918388244,95.78651685393258,0.014178434046759699,1.9779452228546142,45.66203701496124,69.31436085700989,762.6854832172394
12,0.09066541477320213,97.6123595505618,0.01030796136722764,2.032279522418976,46.300925970077515,72.0648558139801,834.7503390312195
13,0.09742892442501327,97.6123595505618,0.018536605859133467,2.0824414467811585,45.675925970077515,75.93378686904907,910.6841259002686
14,0.19088508988720146,94.13623595505618,0.020113521394204727,2.0853637611865996,45.61574077606201,76.02295160293579,986.7070775032043
15,0.09542800837426624,97.29634831460675,0.010539667932002733,1.9826976323127747,47.3101851940155,75.94587516784668,1062.652952671051
16,0.04726211267380891,98.66573033707866,0.007159893937916443,2.2260228419303894,43.35648155212402,76.26070046424866,1138.9136531352997
17,0.09685735200045063,97.36657303370787,0.012163514400874213,2.4176056003570556,42.16203701496124,76.35050368309021,1215.26415681839
18,0.08507292035684576,97.82303370786516,0.012320500891394076,2.3951109886169433,41.3101851940155,72.54412007331848,1287.8082768917084
19,0.14034922396806426,96.2429775280899,0.016764672101590404,2.223997619152069,43.027777791023254,69.77963829040527,1357.5879151821136
20,0.12980582533480098,96.55898876404494,0.01328929541946462,2.188549131155014,47.1851851940155,69.39519500732422,1426.9831101894379
21,0.07103481423894592,97.99859550561798,0.011526858248339777,2.4064899492263794,48.28703701496124,69.56343388557434,1496.5465440750122
22,0.08676598922645783,97.71769662921348,0.013472835445682403,2.193228631019592,44.53703701496124,69.29904961585999,1565.8455936908722
23,0.06858956726304559,97.92837078651685,0.010868818551469385,2.4874079418182373,39.33333337306976,69.37028789520264,1635.2158815860748
24,0.06310969559576171,98.13904494382022,0.010380640879712915,2.24052871465683,44.41203701496124,69.49481892585754,1704.7107005119324
25,0.03752753337270855,99.01685393258427,0.008775305847919891,2.448825376033783,45.95833337306976,69.6108009815216,1774.321501493454
26,0.060151133087877014,98.10393258426966,0.010107664524818236,2.839923830032349,36.74074077606201,69.39096522331238,1843.7124667167664
27,0.0390657386487465,98.8061797752809,0.008079399904131555,2.600118055343628,39.36574077606201,69.41233396530151,1913.1248006820679
28,0.08690899453227921,97.57724719101124,0.011803222320492515,2.5501751613616945,38.569444447755814,69.37049341201782,1982.4952940940857
29,0.11489923727806987,97.19101123595506,0.016928095485638367,2.395716106891632,40.569444447755814,69.27648997306824,2051.771784067154
30,0.1051865705927268,97.12078651685393,0.013962298479935761,2.6926548743247984,38.09259259700775,71.84968280792236,2123.6214668750763
31,0.0909251980660117,97.40168539325843,0.012819553424572845,2.4861912369728087,40.99074077606201,76.40489602088928,2200.0263628959656
32,0.08234898709290493,97.68258426966293,0.010048932778476372,2.4188405108451843,43.046296298503876,76.82575106620789,2276.8521139621735
33,0.03770770539674405,99.08707865168539,0.0076259713923412095,2.200562629699707,45.71759259700775,76.63754916191101,2353.4896631240845
34,0.012448578171208712,99.57865168539325,0.004930181826433439,2.331630506515503,42.194444447755814,76.58659529685974,2430.076258420944
35,0.012605862992356552,99.71910112359551,0.005018585464875266,2.165795829296112,43.21759259700775,76.52690982818604,2506.6031682491302
36,0.00955268690974121,99.75421348314607,0.005087653096841146,2.288221995830536,42.694444447755814,76.4884889125824,2583.0916571617126
37,0.008097157437057322,99.89466292134831,0.005827805859277423,2.37671715259552,40.24074077606201,76.75421571731567,2659.8458728790283
