Epoch,Train_Loss,Train_Accuracy,Test_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,2.7888113483786583,34.375,2.5654915042137834,43.67977528089887,6.810830116271973,6.810830116271973
2,0.7960650976747274,90.51649309694767,1.7089232504367828,59.269662921348306,7.002496242523193,13.813326358795166
3,0.18155099125579,98.6328125,1.5207397916008918,61.58707865168539,8.307920932769775,22.12124729156494
4,0.08865119121037424,99.4140625,1.5101124691996681,61.93820224719101,8.166702032089233,30.287949323654175
5,0.04076362797059119,100.0,1.5573960577001733,61.44662921348315,8.219814777374268,38.50776410102844
6,0.049647070933133364,99.8046875,1.5112153207778596,62.67556179775281,8.203126668930054,46.710890769958496
7,0.032124312245287,100.0,1.4699473940568526,64.00983146067416,6.479027986526489,53.189918756484985
8,0.02123620273778215,100.0,1.5157368835375717,63.44803370786517,8.219601392745972,61.40952014923096
9,0.027680910628987476,100.0,1.486258470976537,64.11516853932584,8.354097127914429,69.76361727714539
10,0.030832859076326713,99.609375,1.4921942368945045,64.1502808988764,8.25440239906311,78.0180196762085
11,0.038550970173673704,99.4140625,1.5929915694875663,62.11376404494382,8.209214925765991,86.22723460197449
12,0.024166868737665936,99.8046875,1.5417433354292023,63.44803370786517,8.350372552871704,94.57760715484619
13,0.01717665302567184,99.8046875,1.5416532132586234,63.16713483146067,8.369213581085205,102.9468207359314
14,0.014456308301305398,100.0,1.5314113760387964,64.00983146067416,8.394670248031616,111.34149098396301
15,0.025200979493092746,99.609375,1.5717156901327747,63.20224719101124,8.269750833511353,119.61124181747437
16,0.00973395943583455,100.0,1.5450861707978536,63.83426966292135,8.37991738319397,127.99115920066833
17,0.011690556049870793,100.0,1.5487651849332988,64.04494382022472,8.233763933181763,136.2249231338501
18,0.01259221687723766,99.8046875,1.5486922826031955,64.00983146067416,8.219432830810547,144.44435596466064
19,0.009945889294613153,100.0,1.6029941564990897,63.44803370786517,8.400172233581543,152.8445281982422
20,0.0077144585229689255,100.0,1.6201627485851726,63.27247191011236,8.238789558410645,161.08331775665283
21,0.010873275277845096,100.0,1.571477931034699,64.04494382022472,8.237777709960938,169.32109546661377
22,0.006535570351843489,100.0,1.575298365331098,64.57162921348315,8.24582052230835,177.56691598892212
23,0.008934126846725121,100.0,1.574355133903328,64.50140449438202,8.337019205093384,185.9039351940155
24,0.008256464567239163,99.8046875,1.58050470705029,64.32584269662921,8.244661331176758,194.14859652519226
25,0.008947704438469373,99.609375,1.6175625869334582,63.55337078651685,8.364327669143677,202.51292419433594
26,0.011503179717692547,100.0,1.5674927124460594,64.32584269662921,8.229185581207275,210.7421097755432
27,0.005900815915083513,100.0,1.540586869734643,65.20365168539325,8.253993034362793,218.996102809906
28,0.009974798122129869,100.0,1.5677496108822944,64.53651685393258,8.231321334838867,227.22742414474487
29,0.008269912951618608,100.0,1.6188935017725976,63.83426966292135,8.388975620269775,235.61639976501465
30,0.009298335742641939,100.0,1.6070785408557047,64.18539325842697,6.595773458480835,242.21217322349548
31,0.011554287721082801,99.8046875,1.5843576659615874,64.39606741573034,8.364267110824585,250.57644033432007
32,0.004989823304640595,100.0,1.591556153704904,64.22050561797754,8.230870246887207,258.8073105812073
33,0.005216921996179735,100.0,1.602278667737552,64.18539325842697,8.259729623794556,267.06704020500183
34,0.0029722345680056605,100.0,1.6052565555914902,64.36095505617978,8.358040571212769,275.4250807762146
35,0.0034302908134122845,100.0,1.6033474846031475,64.36095505617978,8.381678581237793,283.8067593574524
36,0.005606988450381323,100.0,1.6034074457613436,64.46629213483146,8.405376672744751,292.21213603019714
37,0.0053090236615389585,100.0,1.6223982089000304,64.18539325842697,8.376386404037476,300.5885224342346
38,0.004401403750307509,100.0,1.6279650055646393,64.08005617977528,8.38343095779419,308.9719533920288
39,0.007857841097575147,99.8046875,1.622986195839188,64.1502808988764,8.206252336502075,317.1782057285309
40,0.006696393113088561,100.0,1.627995588283023,64.22050561797754,8.21335244178772,325.3915581703186
41,0.004176894533884479,100.0,1.6330422463753584,64.29073033707866,8.360780477523804,333.7523386478424
42,0.007415402989863651,100.0,1.6349740554997174,64.36095505617978,8.269952058792114,342.0222907066345
43,0.008784248118899995,100.0,1.6298021363942057,64.1502808988764,8.31476354598999,350.3370542526245
44,0.009669925428170245,100.0,1.6315200665358747,64.08005617977528,8.28402829170227,358.6210825443268
45,0.010395361335213238,100.0,1.6302237884308934,64.29073033707866,8.247313976287842,366.8683965206146
46,0.007007373329543043,100.0,1.628385840475643,64.32584269662921,8.272371768951416,375.14076828956604
47,0.0036076375254197046,100.0,1.6281738733464663,64.36095505617978,8.415988445281982,383.556756734848
48,0.0025154927770927316,100.0,1.6282446492526137,64.36095505617978,8.474722385406494,392.0314791202545
49,0.002592669869045494,100.0,1.6281593457398036,64.36095505617978,6.572690010070801,398.6041691303253
50,0.009417416993528605,100.0,1.6281685788142548,64.36095505617978,6.627470254898071,405.2316393852234
