Epoch,Train_Loss,Train_Accuracy,SSC_Loss,Pseudo_Loss,Test_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,3.1247828984528443,23.209269662921347,0.1778446954120411,0.0,2.7496464157104494,47.14814814925194,85.6304612159729,85.6304612159729
2,2.0069293908858565,63.37780898876404,0.15126964102467794,0.0,1.6854047560691834,71.13888889551163,86.29657864570618,171.92703986167908
3,1.106810448209891,74.8244382022472,0.13048412588037803,0.0,1.2384488046169282,77.870370388031,86.87176442146301,258.7988042831421
4,0.8505048594448004,79.00280898876404,0.12453885882925451,0.0,1.0870778036117554,79.1898148059845,87.0762619972229,345.875066280365
5,0.7124798339739274,81.95224719101124,0.1408313134413087,0.0,1.0323156464099883,79.9398148059845,87.10919618606567,432.98426246643066
6,0.6866092333632908,83.1811797752809,0.12033671628307091,2.5486900242610595,1.3303783482313156,69.745370388031,116.2416923046112,549.2259547710419
7,0.6279290683797738,84.16432584269663,0.12235052176238445,1.43992745391292,1.5235737681388855,57.51388889551162,112.55639410018921,661.7823488712311
8,0.6155870210672363,84.1994382022472,0.12207006562626764,1.583850006143866,1.9647000932693481,40.819444447755814,115.14488792419434,776.9272367954254
9,0.5933135454909185,84.93679775280899,0.11494626414574934,1.4098616077491406,2.2842642760276792,33.921296298503876,113.98644924163818,890.9136860370636
10,0.5342768338624011,86.0252808988764,0.09966619392291884,0.8552913263733133,2.3748877668380737,28.875,112.5627088546753,1003.4763948917389
11,0.5128414488470788,87.11376404494382,0.14946562621030915,0.831004805528046,2.582742691040039,25.624999999999996,115.33464097976685,1118.8110358715057
12,0.499085737099306,86.7626404494382,0.1253667057732518,0.8166268979816624,2.698311529159546,25.25,115.35462427139282,1234.1656601428986
13,0.44038401225979407,89.32584269662921,0.13550744214084712,1.2454914652397124,3.1317330741882325,17.648148149251938,118.15215802192688,1352.3178181648254
14,0.45094915395707225,87.85112359550563,0.15273524393861213,0.27435013553483434,3.833898038864136,11.875,118.15715289115906,1470.4749710559845
15,0.42825566422131456,88.79915730337079,0.10336382785456234,0.18999884223167815,4.262601327896118,9.125,118.56219339370728,1589.0371644496918
16,0.4132847421373544,89.50140449438202,0.1338594781046503,0.10953097681650954,4.550980396270752,7.249999999999999,118.35436177253723,1707.391526222229
17,0.38776821098970565,89.74719101123596,0.11994605523984084,0.08665160008109687,4.628245992660522,7.124999999999999,118.54941034317017,1825.9409365653992
18,0.35822784646382827,90.4494382022472,0.10641137456123749,0.08389328685955386,4.843456611633301,6.25,118.54779362678528,1944.4887301921844
19,0.35306839933723544,90.625,0.0919442456843478,0.08973213768658343,4.881870937347412,5.875,118.98650074005127,2063.4752309322357
20,0.33872050770265416,91.0814606741573,0.10298641383899061,0.06839061561930046,4.814600667953491,6.5,118.72677397727966,2182.2020049095154
21,0.33310762901654406,91.32724719101124,0.09267144369777669,0.08907014560582263,5.190629405975342,5.0,118.7632155418396,2300.965220451355
22,0.323563218702761,91.53792134831461,0.0876991863498527,0.053692077652791916,5.062362403869629,5.875,118.77479386329651,2419.7400143146515
23,0.3140871265714758,91.50280898876404,0.09321805771984411,0.04648958586072654,5.0270881175994875,6.0,118.71562004089355,2538.455634355545
24,0.2908059398701226,92.24016853932584,0.09557442557527109,0.07440824372421824,5.171210813522339,5.625,118.97393894195557,2657.4295732975006
25,0.2804947438560887,92.2752808988764,0.0858859507722801,0.03871506960078906,5.1737141513824465,5.625,118.74934220314026,2776.178915500641
26,0.2716715275885516,93.1179775280899,0.08844399035730388,0.03901800151202786,5.086378936767578,5.625,118.7530107498169,2894.9319262504578
27,0.2658834636546253,93.32865168539325,0.08434032686473278,0.04020027789088448,5.20081823348999,5.5,118.75662016868591,3013.6885464191437
28,0.26411391572838416,93.04775280898876,0.10032597334867113,0.03576838035722462,5.206486177444458,5.5,119.1482527256012,3132.836799144745
29,0.27584715078720884,92.45084269662921,0.08096608008896367,0.03729098434612323,5.369569664001465,5.0,118.77911567687988,3251.6159148216248
30,0.2774259688311748,92.69662921348315,0.07826460918851114,0.03487317551848259,5.3131436920166015,4.875,118.95114183425903,3370.567056655884
31,0.2432960753637795,93.67977528089888,0.08089051567269175,0.04918683953373955,5.216459798812866,5.875,118.93136668205261,3489.4984233379364
32,0.2322193359945681,94.24157303370787,0.09827822040808334,0.032986180825431026,5.308741579055786,5.375,118.95095801353455,3608.449381351471
33,0.2369824367381758,93.50421348314607,0.0860680587840884,0.0329740663802021,5.361442737579345,5.375,118.56752300262451,3727.0169043540955
34,0.22469230314319052,94.17134831460675,0.07604725813765205,0.030538537591863216,5.493757801055908,4.875,118.76272988319397,3845.7796342372894
35,0.22730854314783316,93.78511235955057,0.07193522735007024,0.02860334756773677,5.350130586624146,5.5,118.94414615631104,3964.7237803936005
36,0.22779979213569942,94.10112359550563,0.08292762039417631,0.032826310327130084,5.4059639739990235,5.25,118.96288299560547,4083.686663389206
37,0.23319539787729135,94.55758426966293,0.07844694927753357,0.02810576952617155,5.493685207366943,5.25,119.14281582832336,4202.829479217529
38,0.20317403376530013,94.59269662921348,0.0789908513719781,0.025902754585310984,5.450182237625122,5.5,118.96007776260376,4321.789556980133
39,0.2065776985562459,94.90870786516854,0.08094282414806023,0.029030469947316673,5.452034320831299,5.5,118.96923565864563,4440.758792638779
40,0.20845121048976867,94.69803370786516,0.08453973026925259,0.028170930315855512,5.49782621383667,5.375,118.93887329101562,4559.697665929794
41,0.20910809708110403,94.41713483146067,0.09046764782724086,0.02820859555406182,5.596453771591187,5.25,118.95973587036133,4678.657401800156
42,0.2170830945369233,94.62780898876404,0.06939839614618025,0.024906273350496305,5.603345441818237,5.25,119.14275026321411,4797.80015206337
43,0.2082329765681617,94.83848314606742,0.07808641465694717,0.02270844889009434,5.597064571380615,5.375,118.95638966560364,4916.756541728973
44,0.21112470893879956,94.59269662921348,0.07999977892201939,0.028913755064013967,5.634449424743653,5.25,118.96000385284424,5035.716545581818
45,0.2040785551908311,94.62780898876404,0.0823257186690743,0.025432874542776117,5.608644371032715,5.25,119.36380887031555,5155.080354452133
46,0.1886679781705476,95.33005617977528,0.06831381149757444,0.03380264239281081,5.640313177108765,5.125,120.34360980987549,5275.423964262009
47,0.2461874107882548,93.60955056179775,0.0969569268270155,0.025788688618857206,5.622705030441284,5.25,118.946941614151,5394.37090587616
48,0.2162652674505194,94.62780898876404,0.0682672473152032,0.04366598022955187,5.611678428649903,5.25,118.76302027702332,5513.133926153183
49,0.2230416097850905,93.9255617977528,0.07609905266945952,0.026280275514621414,5.611653308868409,5.25,118.76302313804626,5631.896949291229
50,0.200913087323601,94.97893258426966,0.06798067416870192,0.023670252674165067,5.611021099090576,5.25,119.33565354347229,5751.2326028347015
