Epoch,Train_Loss,Train_Accuracy,Test_Loss,MMD_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,2.8329537773132323,43.00925922393799,2.53839788142215,0.04696032047271728,59.16432584269663,14.285572290420532,14.285572290420532
2,0.9748377585411072,93.53240752220154,1.4770683314693107,0.052180910110473634,67.0997191011236,15.977741479873657,30.26331377029419
3,0.28392454683780666,98.60185194015503,1.289953348007095,0.06268780827522277,68.99578651685393,16.05320143699646,46.31651520729065
4,0.16781181633472442,99.375,1.2536029124192978,0.06809996485710144,69.55758426966293,15.611670970916748,61.9281861782074
5,0.14185593821108342,99.875,1.2569348421575648,0.06699082553386689,69.4873595505618,15.458937168121338,77.38712334632874
6,0.1182453702390194,99.875,1.2479893820925374,0.06733385384082795,69.9438202247191,16.203800678253174,93.59092402458191
7,0.10830778054893017,100.0,1.2419113277175118,0.06768251597881317,69.80337078651685,16.25615882873535,109.84708285331726
8,0.0972081247717142,99.875,1.2734028527701504,0.06546665549278259,69.80337078651685,16.184757232666016,126.03184008598328
9,0.08819191172719001,100.0,1.310881797391712,0.06561300694942475,69.41713483146067,16.219072103500366,142.25091218948364
10,0.10123941622674465,100.0,1.3236802787090955,0.06296850562095642,69.66292134831461,16.224373817443848,158.4752860069275
11,0.08317397544160486,100.0,1.3525771795552266,0.06372096359729768,69.59269662921348,16.201083183288574,174.67636919021606
12,0.08730651987716556,100.0,1.359104494522378,0.06317489564418793,69.90870786516854,15.77720594406128,190.45357513427734
13,0.08098874688148498,99.75,1.3541791393693663,0.0637173169851303,69.3820224719101,13.982966899871826,204.43654203414917
14,0.08500804192386568,99.875,1.3895260544200794,0.06222696185112,69.73314606741573,14.051935911178589,218.48847794532776
15,0.07795604321174324,100.0,1.3968981027059006,0.06232173442840576,69.87359550561798,14.037526369094849,232.5260043144226
16,0.07352294894866646,100.0,1.4217559518554155,0.06219780743122101,69.97893258426966,14.011914253234863,246.53791856765747
17,0.07447516277432442,99.875,1.4500788986327107,0.06094773560762405,69.41713483146067,14.021435260772705,260.5593538284302
18,0.07284013144671918,100.0,1.4303292567852173,0.0619461190700531,69.24157303370787,13.998750686645508,274.5581045150757
19,0.07188591914251447,100.0,1.4323786970207029,0.061709284484386444,69.34691011235955,13.968419075012207,288.5265235900879
20,0.06756667953915894,100.0,1.4551481436048581,0.060421486794948576,69.4873595505618,13.941471576690674,302.46799516677856
21,0.07245779608376324,100.0,1.4691087690213422,0.06117989480495453,69.4873595505618,13.999894142150879,316.46788930892944
22,0.0719965854845941,100.0,1.4580085497778537,0.06166601210832596,69.90870786516854,13.986293315887451,330.4541826248169
23,0.07014140229206532,99.85185194015503,1.461430979484504,0.060669940710067746,70.04915730337079,13.98896050453186,344.44314312934875
24,0.0713986199349165,100.0,1.4899175571371917,0.061220815181732176,70.11938202247191,13.99496054649353,358.4381036758423
25,0.06559892222750932,100.0,1.4900908416314993,0.06062602430582047,69.83848314606742,13.978719472885132,372.4168231487274
26,0.06580376184079796,100.0,1.4957661624929837,0.06109731614589691,69.73314606741573,14.00108289718628,386.4179060459137
27,0.0712045801524073,100.0,1.5172432373131344,0.06099796533584595,69.62780898876404,14.013197660446167,400.43110370635986
28,0.06700242962688208,100.0,1.4971443594987974,0.06105742424726486,69.66292134831461,14.002787590026855,414.4338912963867
29,0.07153852346818894,100.0,1.495449209771527,0.060748853385448456,69.87359550561798,14.017295598983765,428.4511868953705
30,0.06964268675073981,100.0,1.5306270451656427,0.0625576114654541,69.73314606741573,13.989727020263672,442.44091391563416
31,0.06683425867930054,100.0,1.5297031411508706,0.060823566913604736,69.90870786516854,13.992098331451416,456.43301224708557
32,0.06628483023727313,100.0,1.5234364011021477,0.060083802044391635,69.90870786516854,14.021481275558472,470.45449352264404
33,0.0673619929794222,100.0,1.523425785005825,0.06155107915401459,69.97893258426966,14.006670951843262,484.4611644744873
34,0.06734371586702764,100.0,1.5143223026364498,0.06042279422283173,70.08426966292134,15.929382801055908,500.3905472755432
35,0.06866716768592597,100.0,1.5087555601167377,0.06250128507614136,70.15449438202246,16.224027395248413,516.6145746707916
36,0.07153739682864398,100.0,1.5031163647530204,0.061215092837810514,70.54073033707866,16.20662498474121,532.8211996555328
37,0.0676081495685503,100.0,1.5045093873363993,0.06107750773429871,70.25983146067416,16.250903367996216,549.072103023529
38,0.066701741181314,100.0,1.5021984109738737,0.06093017309904099,70.25983146067416,15.319259881973267,564.3913629055023
39,0.07318909974303096,100.0,1.4973216736165995,0.06107345849275589,70.25983146067416,13.999142169952393,578.3905050754547
40,0.06706165465060622,100.0,1.497583406223926,0.06192677438259125,70.25983146067416,16.300875425338745,594.6913805007935
41,0.07160653145983815,100.0,1.5022582973018708,0.0621132019162178,70.15449438202246,16.257769107818604,610.9491496086121
42,0.06951410084497184,100.0,1.5050820242273464,0.062674660384655,70.18960674157303,16.344314336776733,627.2934639453888
43,0.06487402862636373,100.0,1.5062224039666647,0.06086338311433792,70.2247191011236,16.335007667541504,643.6284716129303
44,0.06858057740144431,100.0,1.5086999936814138,0.06101161628961563,70.2247191011236,16.352720499038696,659.981192111969
45,0.06446448191534727,100.0,1.51003171382158,0.06034193754196167,70.2247191011236,16.41987633705139,676.4010684490204
46,0.06918999974615872,100.0,1.510099261813389,0.0623779308795929,70.2247191011236,14.749465465545654,691.150533914566
47,0.06619390035048127,100.0,1.5100463698304185,0.06247611254453659,70.25983146067416,16.275875568389893,707.4264094829559
48,0.06813944226596505,100.0,1.5098938391010246,0.06165095716714859,70.25983146067416,16.250943899154663,723.6773533821106
49,0.06638165199197829,100.0,1.5100945459882822,0.06216167956590653,70.25983146067416,16.281951189041138,739.9593045711517
50,0.06993562226183712,100.0,1.5101452117048078,0.06040901839733124,70.25983146067416,16.24114418029785,756.2004487514496
