Epoch,Train_Loss,Train_Accuracy,Test_Loss,MMD_Loss,Test_Accuracy,Epoch_Time_s,Cumulative_Time_s
1,2.8389568853378293,42.98148155212402,1.8370409607887268,0.0454676628112793,93.75,15.4316987991333,15.4316987991333
2,1.003950035572052,93.125,0.29055612813681364,0.05068982720375061,97.8515625,15.141024112701416,30.572722911834717
3,0.28051367998123167,98.62962985038757,0.09238096314948052,0.06057597577571869,99.4140625,15.306946754455566,45.87966966629028
4,0.16988400101661683,99.125,0.04717911023180932,0.059678515791893004,99.8046875,15.63858437538147,61.51825404167175
5,0.13281305268406868,99.875,0.0486367191770114,0.06020977914333343,99.4140625,15.931548357009888,77.44980239868164
6,0.11382201854139568,99.75,0.025033662386704236,0.06050404489040375,99.8046875,15.50842809677124,92.95823049545288
7,0.0997518297098577,100.0,0.022150600038003176,0.062367392778396605,99.8046875,15.547335863113403,108.50556635856628
8,0.09802736286073924,99.875,0.01955159909266513,0.061845535039901735,99.609375,18.566454648971558,127.07202100753784
9,0.08836249394342303,100.0,0.015690357773564756,0.06174058854579925,99.8046875,18.588534832000732,145.66055583953857
10,0.10088164022192359,100.0,0.015937473901431076,0.06281301707029342,99.8046875,18.54300880432129,164.20356464385986
11,0.0924536700733006,99.875,0.014414326549740508,0.06261668115854263,99.609375,18.570539236068726,182.7741038799286
12,0.08548652866855264,100.0,0.011483543014037423,0.062329213917255405,99.8046875,18.523237943649292,201.29734182357788
13,0.07935129090212285,100.0,0.013151526683941483,0.06356979846954346,99.609375,18.55369281768799,219.85103464126587
14,0.08249092537909745,99.875,0.010648825045791455,0.06080428928136825,99.8046875,18.601664543151855,238.45269918441772
15,0.08135748569853604,100.0,0.008119739643007051,0.06471882581710815,99.8046875,18.66447424888611,257.11717343330383
16,0.07628021217882633,99.875,0.008724326391529758,0.06286166280508042,99.8046875,18.652255296707153,275.769428730011
17,0.07369874675758183,100.0,0.00930456222340581,0.06204641044139862,99.8046875,18.66875433921814,294.4381830692291
18,0.07280312520917505,99.875,0.010135630447621224,0.06090391576290131,99.8046875,18.7023024559021,313.1404855251312
19,0.07520869793370366,100.0,0.009991842074668966,0.0626180523633957,99.8046875,18.584386110305786,331.724871635437
20,0.07011641876772046,100.0,0.008492326851410326,0.06228228390216827,99.8046875,18.639185190200806,350.3640568256378
21,0.07576106150168926,100.0,0.008070178519119509,0.06440593153238297,99.8046875,18.60767674446106,368.9717335700989
22,0.06892558823805303,100.0,0.008928863411711063,0.061371522545814516,99.8046875,18.631414890289307,387.6031484603882
23,0.07078024243935943,100.0,0.008945180896262173,0.06293903797864914,99.8046875,18.59997582435608,406.20312428474426
24,0.06986847483087331,100.0,0.007167543448304059,0.06239225178956986,99.8046875,18.603466033935547,424.8065903186798
25,0.06990112687693908,100.0,0.009633002398913959,0.06399871826171875,99.8046875,15.635685682296753,440.44227600097656
26,0.06993208766914903,100.0,0.008271850696473848,0.06266601592302322,99.8046875,18.624211072921753,459.0664870738983
27,0.07446225510910154,100.0,0.006903078949108021,0.06391069948673249,99.8046875,18.609081745147705,477.675568819046
28,0.0678975441865623,100.0,0.0071841930875962134,0.06274646937847138,99.8046875,18.611503839492798,496.2870726585388
29,0.07216676988406107,99.875,0.010191477389525971,0.06290733873844147,99.8046875,18.734795093536377,515.0218677520752
30,0.06846145879942925,100.0,0.009314127953985007,0.0636304447054863,99.8046875,18.678301095962524,533.7001688480377
31,0.06856772275641561,100.0,0.008923119654355105,0.06323705673217773,99.8046875,18.673938035964966,552.3741068840027
32,0.0686067600757815,100.0,0.00921956103593402,0.0628033509850502,99.8046875,18.635167598724365,571.009274482727
33,0.06557016844395548,100.0,0.00881991740061494,0.06060943484306335,99.8046875,18.601309061050415,589.6105835437775
34,0.06660290849860757,100.0,0.00822855431397329,0.06151120662689209,99.8046875,18.575746297836304,608.1863298416138
35,0.06725387392099946,100.0,0.007648255121239345,0.06232832372188568,99.8046875,18.62014102935791,626.8064708709717
36,0.06605310601647943,100.0,0.007066187788950629,0.061414832174777986,99.8046875,18.60560441017151,645.4120752811432
37,0.06849053547717632,100.0,0.007258232493768446,0.0627883106470108,99.8046875,18.60343885421753,664.0155141353607
38,0.06871212732512504,100.0,0.00714770514605334,0.06241730093955994,99.8046875,15.60695195198059,679.6224660873413
39,0.06905916034942493,100.0,0.007036175051325699,0.0611091011762619,99.8046875,15.653605699539185,695.2760717868805
40,0.07089656149270013,100.0,0.007010195318798651,0.06314605981111526,99.8046875,18.452767848968506,713.728839635849
41,0.06795827723108232,99.875,0.0072519918303441955,0.06121348023414612,99.8046875,17.34382724761963,731.0726668834686
42,0.06891213745810092,100.0,0.007403847432215116,0.06307309865951538,99.8046875,15.584930419921875,746.6575973033905
43,0.0667811684194021,100.0,0.007449258835549699,0.06249864012002945,99.8046875,15.576164245605469,762.233761548996
44,0.0707011292479001,99.875,0.007555999121905188,0.06155455321073532,99.8046875,15.580245971679688,777.8140075206757
45,0.06664061399176717,100.0,0.007669269474718021,0.06291663289070129,99.8046875,15.611136436462402,793.4251439571381
46,0.07081175214145333,100.0,0.007654214630747447,0.06493345916271209,99.8046875,15.62613582611084,809.0512797832489
47,0.06378388508688658,100.0,0.007641029380465625,0.060881756246089935,99.8046875,15.596165657043457,824.6474454402924
48,0.06825769142713398,100.0,0.00759039715740073,0.06365980297327041,99.8046875,15.595234632492065,840.2426800727844
49,0.0646539863711223,100.0,0.007583556047393358,0.060879347324371336,99.8046875,15.637573957443237,855.8802540302277
