Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Learning_Rate,Epoch_Time_s,Cumulative_Time_s
1,2.949398420294937,0.047099383471875776,60.62893081761006,2.0768486893177034,0.0,5e-05,62.48419260978699,62.48419260978699
2,1.086932215763598,0.22208077992711747,83.77358490566037,0.7561601038649678,0.12,4.995066821070679e-05,61.63297176361084,124.11716437339783
3,0.579014425679129,0.19632382782138125,90.062893081761,0.4461489603109658,0.24,4.980286753286195e-05,61.12415051460266,185.2413148880005
4,0.37134050593084217,0.1579183850969587,88.80503144654088,0.43532458156812937,0.36,4.955718126821722e-05,61.30595564842224,246.54727053642273
5,0.3215897771320781,0.11238354170808987,90.56603773584905,0.3011970007745549,0.48,4.9214579028215776e-05,61.538381814956665,308.0856523513794
6,0.26054196622298686,0.09213714362407217,89.30817610062893,0.3715470392932184,0.6,4.877641290737884e-05,61.18993616104126,369.27558851242065
7,0.2543224236946933,0.07649021717358609,89.68553459119497,0.43464912466239186,0.6447213595499958,4.8244412147206284e-05,62.038052797317505,431.31364130973816
8,0.266868763014066,0.05947534698156678,92.95597484276729,0.2707500921515748,0.6632455532033675,4.762067631165049e-05,61.346508264541626,492.6601495742798
9,0.2254280393791138,0.06935513399693431,91.44654088050315,0.31385229653446006,0.6774596669241483,4.6907667001096584e-05,61.76853919029236,554.4286887645721
10,0.13905817061206516,0.047847291530699144,88.55345911949685,0.3803289595642127,0.6894427190999916,4.610819813755037e-05,61.592315673828125,616.0210044384003
11,0.1192015639069129,0.05351846987305551,91.06918238993711,0.2900320344825741,0.7,4.5225424859373677e-05,61.53438329696655,677.5553877353668
12,0.1412601361516863,0.03595472129099831,94.0880503144654,0.2710384297504788,0.7095445115010333,4.426283106939472e-05,61.68365740776062,739.2390451431274
13,0.08957640445620126,0.033933469493474276,93.08176100628931,0.28869880438258405,0.7183215956619924,4.322421568553528e-05,61.795297622680664,801.0343427658081
14,0.11030480764540178,0.03158251151480541,94.33962264150944,0.2138411663583247,0.7264911064067352,4.211367764821721e-05,62.386868953704834,863.4212117195129
15,0.06885150151460298,0.029058681401823248,91.82389937106919,0.3005899721206515,0.7341640786499873,4.0935599743717234e-05,61.60466122627258,925.0258729457855
16,0.09218784498183855,0.028603923350230466,92.32704402515724,0.28281329335004557,0.7414213562373095,3.969463130731183e-05,61.80312490463257,986.8289978504181
17,0.06576501768158406,0.022760657574601318,90.56603773584905,0.3779713430747506,0.7483239697419133,3.839566987447491e-05,61.5929901599884,1048.4219880104065
18,0.08271550149799381,0.023699200341516003,91.82389937106919,0.27774959935602966,0.7549193338482967,3.7043841852542874e-05,61.596734285354614,1110.018722295761
19,0.04982337704859674,0.017260250017731165,91.44654088050315,0.3149994275665085,0.761245154965971,3.564448228912681e-05,61.7499942779541,1171.7687165737152
20,0.050694604057400505,0.013858287029766611,91.82389937106919,0.30515884562970313,0.7673320053068151,3.420311381711694e-05,61.971290588378906,1233.7400071620941
21,0.05578065471372054,0.014922674878367357,92.95597484276729,0.2728245296512614,0.7732050807568878,3.272542485937368e-05,61.85879683494568,1295.5988039970398
22,0.021788097996435756,0.014867318052874536,93.20754716981132,0.32150057880768146,0.7788854381999832,3.121724717912136e-05,61.73754525184631,1357.336349248886
23,0.037197716194395054,0.014829571102270666,93.08176100628931,0.2934126327870763,0.7843908891458578,2.9684532864643112e-05,62.18930006027222,1419.5256493091583
24,0.03997682628212307,0.01081640846381078,92.70440251572327,0.2795019608060829,0.7897366596101028,2.8133330839107605e-05,61.554054737091064,1481.0797040462494
25,0.048861327298384695,0.014386901655709562,92.57861635220125,0.30473900343378774,0.7949358868961793,2.6569762988232828e-05,60.98061966896057,1542.06032371521
26,0.015998728957017695,0.01191649556739674,92.45283018867924,0.39889305451128165,0.8,2.499999999999999e-05,61.4969539642334,1603.5572776794434
27,0.026560344016987224,0.008920038352977028,91.69811320754717,0.34189543440726994,0.804939015319192,2.3430237011767157e-05,62.1255943775177,1665.682872056961
28,0.02205436453056921,0.011096021868478584,92.70440251572327,0.31158954287959206,0.8097617696340302,2.1866669160892387e-05,61.573158502578735,1727.2560305595398
29,0.0165018464334081,0.016071564679471205,93.58490566037736,0.2990467382735369,0.8144761058952722,2.0315467135356877e-05,61.994304180145264,1789.250334739685
