Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Learning_Rate,Epoch_Time_s,Cumulative_Time_s
1,2.931677664479902,0.04097109918873156,71.4859437751004,2.19460441544652,0.0,5e-05,51.470142126083374,51.470142126083374
2,1.016018190691548,0.2000391764506217,93.97590361445783,0.4980617043329403,0.12,4.995066821070679e-05,49.99545693397522,101.4655990600586
3,0.18842047843481263,0.16213744542291086,99.79919678714859,0.08423018689791206,0.24,4.980286753286195e-05,50.59207606315613,152.05767512321472
4,0.05815694886710374,0.09979296073077186,100.0,0.02867799783416558,0.36,4.955718126821722e-05,50.98963212966919,203.0473072528839
5,0.026251101926449808,0.056358971302547765,99.79919678714859,0.025645974716098863,0.48,4.9214579028215776e-05,51.00038981437683,254.04769706726074
6,0.014280787225992929,0.029864392754050992,98.39357429718875,0.04667957858873706,0.6,4.877641290737884e-05,51.80046844482422,305.84816551208496
7,0.011396327807057289,0.03190003071100481,99.59839357429719,0.016681967113981955,0.6447213595499958,4.8244412147206284e-05,51.390531063079834,357.2386965751648
8,0.006683045902454685,0.02022076929889379,99.59839357429719,0.013565613414584732,0.6632455532033675,4.762067631165049e-05,51.1835412979126,408.4222378730774
9,0.005758908044006075,0.01728790242510337,98.79518072289157,0.02550942243897225,0.6774596669241483,4.6907667001096584e-05,50.94356298446655,459.36580085754395
10,0.0033429237796113857,0.014638892465060758,99.19678714859438,0.016860163706951425,0.6894427190999916,4.610819813755037e-05,50.79585099220276,510.1616518497467
11,0.0102690244112314,0.01123960860328929,98.99598393574297,0.02296007812356038,0.7,4.5225424859373677e-05,51.78623652458191,561.9478883743286
12,0.004182533834189657,0.01228285117840935,99.59839357429719,0.020408730154940713,0.7095445115010333,4.426283106939472e-05,51.18649649620056,613.1343848705292
13,0.003276961533570542,0.006897204769625058,100.0,0.001762703292115475,0.7183215956619924,4.322421568553528e-05,51.415093421936035,664.5494782924652
14,0.0014886225643192207,0.0038896109833712537,99.79919678714859,0.00524857884101948,0.7264911064067352,4.211367764821721e-05,51.73981475830078,716.289293050766
15,0.0032266577087988655,0.004258033558500991,100.0,0.0031696702021690726,0.7341640786499873,4.0935599743717234e-05,51.11075520515442,767.4000482559204
16,0.0011472999505067786,0.003393206364219828,100.0,0.004799118915798317,0.7414213562373095,3.969463130731183e-05,51.63319730758667,819.0332455635071
17,0.0013728021614013179,0.0041484867697656755,99.59839357429719,0.004981234504157328,0.7483239697419133,3.839566987447491e-05,51.76032376289368,870.7935693264008
18,0.0013882363047976528,0.00184893848059038,100.0,0.001153870029384052,0.7549193338482967,3.7043841852542874e-05,50.77718234062195,921.5707516670227
19,0.0017634344525680307,0.0020641637646833496,100.0,0.0014261539870403794,0.761245154965971,3.564448228912681e-05,50.971599817276,972.5423514842987
